auctionid;openbid;item;auction_type
12;1.0;Cartier wristwatch;3 day auction
27;99.0;Cartier wristwatch;3 day auction
41;99.99;Cartier wristwatch;3 day auction
52;200.0;Cartier wristwatch;3 day auction
57;99.0;Cartier wristwatch;3 day auction
58;100.0;Cartier wristwatch;3 day auction
59;9.99;Cartier wristwatch;3 day auction
60;9.99;Cartier wristwatch;3 day auction
80;149.99;Cartier wristwatch;3 day auction
81;199.0;Cartier wristwatch;3 day auction
86;1200.0;Cartier wristwatch;3 day auction
90;100.0;Cartier wristwatch;3 day auction
96;99.99;Cartier wristwatch;3 day auction
106;99.0;Cartier wristwatch;3 day auction
112;500.0;Cartier wristwatch;3 day auction
13;899.99;Cartier wristwatch;5 day auction
17;9.99;Cartier wristwatch;5 day auction
18;500.0;Cartier wristwatch;5 day auction
22;1.0;Cartier wristwatch;5 day auction
23;1.0;Cartier wristwatch;5 day auction
26;500.0;Cartier wristwatch;5 day auction
28;2350.0;Cartier wristwatch;5 day auction
38;90.0;Cartier wristwatch;5 day auction
42;1699.0;Cartier wristwatch;5 day auction
43;9.99;Cartier wristwatch;5 day auction
44;9.99;Cartier wristwatch;5 day auction
45;9.99;Cartier wristwatch;5 day auction
70;100.0;Cartier wristwatch;5 day auction
78;1.0;Cartier wristwatch;5 day auction
84;100.0;Cartier wristwatch;5 day auction
87;1.0;Cartier wristwatch;5 day auction
89;1.0;Cartier wristwatch;5 day auction
103;150.0;Cartier wristwatch;5 day auction
104;50.0;Cartier wristwatch;5 day auction
105;10.0;Cartier wristwatch;5 day auction
118;1.0;Cartier wristwatch;5 day auction
0;500.0;Cartier wristwatch;7 day auction
1;200.0;Cartier wristwatch;7 day auction
2;300.0;Cartier wristwatch;7 day auction
3;225.0;Cartier wristwatch;7 day auction
4;25.0;Cartier wristwatch;7 day auction
5;495.0;Cartier wristwatch;7 day auction
6;1.0;Cartier wristwatch;7 day auction
7;1.0;Cartier wristwatch;7 day auction
8;155.0;Cartier wristwatch;7 day auction
9;4.99;Cartier wristwatch;7 day auction
10;1000.0;Cartier wristwatch;7 day auction
11;100.0;Cartier wristwatch;7 day auction
14;1.0;Cartier wristwatch;7 day auction
15;5.0;Cartier wristwatch;7 day auction
16;1.0;Cartier wristwatch;7 day auction
19;1.0;Cartier wristwatch;7 day auction
20;50.0;Cartier wristwatch;7 day auction
21;1.0;Cartier wristwatch;7 day auction
24;1.0;Cartier wristwatch;7 day auction
25;1499.99;Cartier wristwatch;7 day auction
29;200.0;Cartier wristwatch;7 day auction
30;195.0;Cartier wristwatch;7 day auction
31;1.0;Cartier wristwatch;7 day auction
32;500.0;Cartier wristwatch;7 day auction
33;250.0;Cartier wristwatch;7 day auction
34;9.99;Cartier wristwatch;7 day auction
35;1.0;Cartier wristwatch;7 day auction
36;200.0;Cartier wristwatch;7 day auction
37;175.0;Cartier wristwatch;7 day auction
39;99.0;Cartier wristwatch;7 day auction
40;299.99;Cartier wristwatch;7 day auction
46;500.0;Cartier wristwatch;7 day auction
47;1.0;Cartier wristwatch;7 day auction
48;101.01;Cartier wristwatch;7 day auction
49;650.0;Cartier wristwatch;7 day auction
50;700.0;Cartier wristwatch;7 day auction
51;399.0;Cartier wristwatch;7 day auction
53;19.99;Cartier wristwatch;7 day auction
54;20.0;Cartier wristwatch;7 day auction
55;95.0;Cartier wristwatch;7 day auction
56;499.0;Cartier wristwatch;7 day auction
61;900.0;Cartier wristwatch;7 day auction
62;0.01;Cartier wristwatch;7 day auction
63;1.0;Cartier wristwatch;7 day auction
64;1.0;Cartier wristwatch;7 day auction
65;1.0;Cartier wristwatch;7 day auction
66;500.0;Cartier wristwatch;7 day auction
67;0.01;Cartier wristwatch;7 day auction
68;500.0;Cartier wristwatch;7 day auction
69;350.0;Cartier wristwatch;7 day auction
71;1.0;Cartier wristwatch;7 day auction
72;1.0;Cartier wristwatch;7 day auction
73;9.99;Cartier wristwatch;7 day auction
74;500.0;Cartier wristwatch;7 day auction
75;1.0;Cartier wristwatch;7 day auction
76;1.0;Cartier wristwatch;7 day auction
77;1.0;Cartier wristwatch;7 day auction
79;25.0;Cartier wristwatch;7 day auction
82;100.0;Cartier wristwatch;7 day auction
83;50.0;Cartier wristwatch;7 day auction
85;200.0;Cartier wristwatch;7 day auction
88;1.0;Cartier wristwatch;7 day auction
91;200.0;Cartier wristwatch;7 day auction
92;200.0;Cartier wristwatch;7 day auction
93;1.0;Cartier wristwatch;7 day auction
94;1.0;Cartier wristwatch;7 day auction
95;1.0;Cartier wristwatch;7 day auction
97;1.0;Cartier wristwatch;7 day auction
98;75.0;Cartier wristwatch;7 day auction
99;1.0;Cartier wristwatch;7 day auction
100;99.99;Cartier wristwatch;7 day auction
101;150.0;Cartier wristwatch;7 day auction
102;349.0;Cartier wristwatch;7 day auction
107;249.99;Cartier wristwatch;7 day auction
108;1.0;Cartier wristwatch;7 day auction
109;1495.0;Cartier wristwatch;7 day auction
110;1.0;Cartier wristwatch;7 day auction
111;1.0;Cartier wristwatch;7 day auction
113;100.0;Cartier wristwatch;7 day auction
114;100.0;Cartier wristwatch;7 day auction
115;7.99;Cartier wristwatch;7 day auction
116;1.0;Cartier wristwatch;7 day auction
117;1.0;Cartier wristwatch;7 day auction
119;1.0;Cartier wristwatch;7 day auction
120;300.0;Cartier wristwatch;7 day auction
121;850.0;Cartier wristwatch;7 day auction
122;10.0;Cartier wristwatch;7 day auction
123;359.0;Cartier wristwatch;7 day auction
124;9.99;Cartier wristwatch;7 day auction
126;0.01;Palm Pilot M515 PDA;3 day auction
146;1.0;Palm Pilot M515 PDA;3 day auction
147;1.0;Palm Pilot M515 PDA;3 day auction
151;1.0;Palm Pilot M515 PDA;3 day auction
154;1.0;Palm Pilot M515 PDA;3 day auction
155;1.0;Palm Pilot M515 PDA;3 day auction
159;200.0;Palm Pilot M515 PDA;3 day auction
165;215.0;Palm Pilot M515 PDA;3 day auction
166;1.0;Palm Pilot M515 PDA;3 day auction
174;200.0;Palm Pilot M515 PDA;3 day auction
175;215.0;Palm Pilot M515 PDA;3 day auction
179;259.0;Palm Pilot M515 PDA;3 day auction
181;1.0;Palm Pilot M515 PDA;3 day auction
186;0.01;Palm Pilot M515 PDA;3 day auction
190;0.01;Palm Pilot M515 PDA;3 day auction
191;9.99;Palm Pilot M515 PDA;3 day auction
192;9.99;Palm Pilot M515 PDA;3 day auction
193;9.99;Palm Pilot M515 PDA;3 day auction
196;1.0;Palm Pilot M515 PDA;3 day auction
200;50.0;Palm Pilot M515 PDA;3 day auction
201;1.0;Palm Pilot M515 PDA;3 day auction
202;0.01;Palm Pilot M515 PDA;3 day auction
218;220.0;Palm Pilot M515 PDA;3 day auction
219;199.0;Palm Pilot M515 PDA;3 day auction
220;9.99;Palm Pilot M515 PDA;3 day auction
228;200.99;Palm Pilot M515 PDA;3 day auction
231;0.01;Palm Pilot M515 PDA;3 day auction
238;255.0;Palm Pilot M515 PDA;3 day auction
241;99.0;Palm Pilot M515 PDA;3 day auction
245;0.01;Palm Pilot M515 PDA;3 day auction
246;0.01;Palm Pilot M515 PDA;3 day auction
264;1.0;Palm Pilot M515 PDA;3 day auction
269;0.01;Palm Pilot M515 PDA;3 day auction
277;199.95;Palm Pilot M515 PDA;3 day auction
286;1.0;Palm Pilot M515 PDA;3 day auction
291;1.0;Palm Pilot M515 PDA;3 day auction
303;215.0;Palm Pilot M515 PDA;3 day auction
304;1.0;Palm Pilot M515 PDA;3 day auction
305;25.0;Palm Pilot M515 PDA;3 day auction
308;1.0;Palm Pilot M515 PDA;3 day auction
320;190.0;Palm Pilot M515 PDA;3 day auction
321;175.0;Palm Pilot M515 PDA;3 day auction
325;0.01;Palm Pilot M515 PDA;3 day auction
334;150.0;Palm Pilot M515 PDA;3 day auction
335;50.0;Palm Pilot M515 PDA;3 day auction
338;99.0;Palm Pilot M515 PDA;3 day auction
339;175.0;Palm Pilot M515 PDA;3 day auction
342;1.0;Palm Pilot M515 PDA;3 day auction
344;175.0;Palm Pilot M515 PDA;3 day auction
345;175.0;Palm Pilot M515 PDA;3 day auction
346;150.0;Palm Pilot M515 PDA;3 day auction
360;175.0;Palm Pilot M515 PDA;3 day auction
365;175.0;Palm Pilot M515 PDA;3 day auction
366;175.0;Palm Pilot M515 PDA;3 day auction
373;1.0;Palm Pilot M515 PDA;3 day auction
377;175.0;Palm Pilot M515 PDA;3 day auction
378;175.0;Palm Pilot M515 PDA;3 day auction
382;175.0;Palm Pilot M515 PDA;3 day auction
383;175.0;Palm Pilot M515 PDA;3 day auction
384;175.0;Palm Pilot M515 PDA;3 day auction
392;175.0;Palm Pilot M515 PDA;3 day auction
394;150.0;Palm Pilot M515 PDA;3 day auction
398;175.0;Palm Pilot M515 PDA;3 day auction
400;199.0;Palm Pilot M515 PDA;3 day auction
405;175.0;Palm Pilot M515 PDA;3 day auction
406;175.0;Palm Pilot M515 PDA;3 day auction
408;175.0;Palm Pilot M515 PDA;3 day auction
409;175.0;Palm Pilot M515 PDA;3 day auction
410;175.0;Palm Pilot M515 PDA;3 day auction
411;175.0;Palm Pilot M515 PDA;3 day auction
413;19.99;Palm Pilot M515 PDA;3 day auction
414;19.99;Palm Pilot M515 PDA;3 day auction
417;175.0;Palm Pilot M515 PDA;3 day auction
418;175.0;Palm Pilot M515 PDA;3 day auction
421;175.0;Palm Pilot M515 PDA;3 day auction
422;175.0;Palm Pilot M515 PDA;3 day auction
423;185.0;Palm Pilot M515 PDA;3 day auction
424;175.0;Palm Pilot M515 PDA;3 day auction
425;200.0;Palm Pilot M515 PDA;3 day auction
427;9.99;Palm Pilot M515 PDA;3 day auction
428;175.0;Palm Pilot M515 PDA;3 day auction
429;5.0;Palm Pilot M515 PDA;3 day auction
430;175.0;Palm Pilot M515 PDA;3 day auction
431;175.0;Palm Pilot M515 PDA;3 day auction
432;175.0;Palm Pilot M515 PDA;3 day auction
433;175.0;Palm Pilot M515 PDA;3 day auction
434;1.0;Palm Pilot M515 PDA;3 day auction
436;9.99;Palm Pilot M515 PDA;3 day auction
127;0.01;Palm Pilot M515 PDA;5 day auction
134;140.0;Palm Pilot M515 PDA;5 day auction
135;225.0;Palm Pilot M515 PDA;5 day auction
138;200.0;Palm Pilot M515 PDA;5 day auction
148;1.0;Palm Pilot M515 PDA;5 day auction
152;1.0;Palm Pilot M515 PDA;5 day auction
156;1.0;Palm Pilot M515 PDA;5 day auction
161;255.0;Palm Pilot M515 PDA;5 day auction
164;100.0;Palm Pilot M515 PDA;5 day auction
167;1.0;Palm Pilot M515 PDA;5 day auction
171;179.99;Palm Pilot M515 PDA;5 day auction
177;215.0;Palm Pilot M515 PDA;5 day auction
182;1.0;Palm Pilot M515 PDA;5 day auction
185;25.0;Palm Pilot M515 PDA;5 day auction
189;215.0;Palm Pilot M515 PDA;5 day auction
194;99.99;Palm Pilot M515 PDA;5 day auction
195;100.0;Palm Pilot M515 PDA;5 day auction
197;1.0;Palm Pilot M515 PDA;5 day auction
206;10.0;Palm Pilot M515 PDA;5 day auction
207;10.0;Palm Pilot M515 PDA;5 day auction
208;10.0;Palm Pilot M515 PDA;5 day auction
212;100.0;Palm Pilot M515 PDA;5 day auction
224;9.99;Palm Pilot M515 PDA;5 day auction
236;150.0;Palm Pilot M515 PDA;5 day auction
237;0.01;Palm Pilot M515 PDA;5 day auction
243;99.99;Palm Pilot M515 PDA;5 day auction
253;0.07;Palm Pilot M515 PDA;5 day auction
260;45.99;Palm Pilot M515 PDA;5 day auction
261;9.99;Palm Pilot M515 PDA;5 day auction
272;9.99;Palm Pilot M515 PDA;5 day auction
279;1.0;Palm Pilot M515 PDA;5 day auction
306;19.99;Palm Pilot M515 PDA;5 day auction
307;150.0;Palm Pilot M515 PDA;5 day auction
309;1.0;Palm Pilot M515 PDA;5 day auction
326;10.0;Palm Pilot M515 PDA;5 day auction
329;89.0;Palm Pilot M515 PDA;5 day auction
332;1.0;Palm Pilot M515 PDA;5 day auction
333;9.99;Palm Pilot M515 PDA;5 day auction
336;15.0;Palm Pilot M515 PDA;5 day auction
341;9.99;Palm Pilot M515 PDA;5 day auction
350;175.0;Palm Pilot M515 PDA;5 day auction
351;175.0;Palm Pilot M515 PDA;5 day auction
404;0.01;Palm Pilot M515 PDA;5 day auction
426;70.0;Palm Pilot M515 PDA;5 day auction
125;0.01;Palm Pilot M515 PDA;7 day auction
128;0.01;Palm Pilot M515 PDA;7 day auction
129;1.0;Palm Pilot M515 PDA;7 day auction
130;9.99;Palm Pilot M515 PDA;7 day auction
131;215.0;Palm Pilot M515 PDA;7 day auction
132;155.0;Palm Pilot M515 PDA;7 day auction
133;50.0;Palm Pilot M515 PDA;7 day auction
136;39.0;Palm Pilot M515 PDA;7 day auction
137;39.0;Palm Pilot M515 PDA;7 day auction
139;1.0;Palm Pilot M515 PDA;7 day auction
140;179.99;Palm Pilot M515 PDA;7 day auction
141;15.0;Palm Pilot M515 PDA;7 day auction
142;10.0;Palm Pilot M515 PDA;7 day auction
143;9.99;Palm Pilot M515 PDA;7 day auction
144;2.0;Palm Pilot M515 PDA;7 day auction
145;100.0;Palm Pilot M515 PDA;7 day auction
149;1.0;Palm Pilot M515 PDA;7 day auction
150;1.0;Palm Pilot M515 PDA;7 day auction
153;125.0;Palm Pilot M515 PDA;7 day auction
157;1.0;Palm Pilot M515 PDA;7 day auction
158;5.0;Palm Pilot M515 PDA;7 day auction
160;9.0;Palm Pilot M515 PDA;7 day auction
162;1.0;Palm Pilot M515 PDA;7 day auction
163;1.0;Palm Pilot M515 PDA;7 day auction
168;1.0;Palm Pilot M515 PDA;7 day auction
169;150.0;Palm Pilot M515 PDA;7 day auction
170;10.0;Palm Pilot M515 PDA;7 day auction
172;20.0;Palm Pilot M515 PDA;7 day auction
173;1.0;Palm Pilot M515 PDA;7 day auction
176;215.0;Palm Pilot M515 PDA;7 day auction
178;150.0;Palm Pilot M515 PDA;7 day auction
180;215.0;Palm Pilot M515 PDA;7 day auction
183;1.0;Palm Pilot M515 PDA;7 day auction
184;9.99;Palm Pilot M515 PDA;7 day auction
187;9.99;Palm Pilot M515 PDA;7 day auction
188;1.0;Palm Pilot M515 PDA;7 day auction
198;0.01;Palm Pilot M515 PDA;7 day auction
199;1.0;Palm Pilot M515 PDA;7 day auction
203;0.01;Palm Pilot M515 PDA;7 day auction
204;0.01;Palm Pilot M515 PDA;7 day auction
205;100.0;Palm Pilot M515 PDA;7 day auction
209;0.01;Palm Pilot M515 PDA;7 day auction
210;10.0;Palm Pilot M515 PDA;7 day auction
211;0.01;Palm Pilot M515 PDA;7 day auction
213;100.0;Palm Pilot M515 PDA;7 day auction
214;149.99;Palm Pilot M515 PDA;7 day auction
215;175.0;Palm Pilot M515 PDA;7 day auction
216;150.0;Palm Pilot M515 PDA;7 day auction
217;0.01;Palm Pilot M515 PDA;7 day auction
221;0.01;Palm Pilot M515 PDA;7 day auction
222;50.0;Palm Pilot M515 PDA;7 day auction
223;0.01;Palm Pilot M515 PDA;7 day auction
225;0.01;Palm Pilot M515 PDA;7 day auction
226;0.01;Palm Pilot M515 PDA;7 day auction
227;9.99;Palm Pilot M515 PDA;7 day auction
229;0.01;Palm Pilot M515 PDA;7 day auction
230;0.01;Palm Pilot M515 PDA;7 day auction
232;50.0;Palm Pilot M515 PDA;7 day auction
233;0.01;Palm Pilot M515 PDA;7 day auction
234;0.11;Palm Pilot M515 PDA;7 day auction
235;0.01;Palm Pilot M515 PDA;7 day auction
239;0.01;Palm Pilot M515 PDA;7 day auction
240;219.99;Palm Pilot M515 PDA;7 day auction
242;0.01;Palm Pilot M515 PDA;7 day auction
244;0.01;Palm Pilot M515 PDA;7 day auction
247;0.01;Palm Pilot M515 PDA;7 day auction
248;200.0;Palm Pilot M515 PDA;7 day auction
249;0.01;Palm Pilot M515 PDA;7 day auction
250;1.0;Palm Pilot M515 PDA;7 day auction
251;0.01;Palm Pilot M515 PDA;7 day auction
252;0.01;Palm Pilot M515 PDA;7 day auction
254;0.01;Palm Pilot M515 PDA;7 day auction
255;1.0;Palm Pilot M515 PDA;7 day auction
256;0.01;Palm Pilot M515 PDA;7 day auction
257;100.0;Palm Pilot M515 PDA;7 day auction
258;0.01;Palm Pilot M515 PDA;7 day auction
259;25.0;Palm Pilot M515 PDA;7 day auction
262;0.01;Palm Pilot M515 PDA;7 day auction
263;0.01;Palm Pilot M515 PDA;7 day auction
265;0.01;Palm Pilot M515 PDA;7 day auction
266;25.0;Palm Pilot M515 PDA;7 day auction
267;240.0;Palm Pilot M515 PDA;7 day auction
268;0.01;Palm Pilot M515 PDA;7 day auction
270;0.01;Palm Pilot M515 PDA;7 day auction
271;0.01;Palm Pilot M515 PDA;7 day auction
273;100.0;Palm Pilot M515 PDA;7 day auction
274;239.99;Palm Pilot M515 PDA;7 day auction
275;0.01;Palm Pilot M515 PDA;7 day auction
276;0.01;Palm Pilot M515 PDA;7 day auction
278;0.01;Palm Pilot M515 PDA;7 day auction
280;9.99;Palm Pilot M515 PDA;7 day auction
281;0.01;Palm Pilot M515 PDA;7 day auction
282;0.01;Palm Pilot M515 PDA;7 day auction
283;150.0;Palm Pilot M515 PDA;7 day auction
284;175.0;Palm Pilot M515 PDA;7 day auction
285;0.01;Palm Pilot M515 PDA;7 day auction
287;1.0;Palm Pilot M515 PDA;7 day auction
288;1.0;Palm Pilot M515 PDA;7 day auction
289;50.0;Palm Pilot M515 PDA;7 day auction
290;0.01;Palm Pilot M515 PDA;7 day auction
292;0.01;Palm Pilot M515 PDA;7 day auction
293;100.0;Palm Pilot M515 PDA;7 day auction
294;1.0;Palm Pilot M515 PDA;7 day auction
295;0.01;Palm Pilot M515 PDA;7 day auction
296;215.0;Palm Pilot M515 PDA;7 day auction
297;0.01;Palm Pilot M515 PDA;7 day auction
298;200.0;Palm Pilot M515 PDA;7 day auction
299;0.01;Palm Pilot M515 PDA;7 day auction
300;19.99;Palm Pilot M515 PDA;7 day auction
301;0.01;Palm Pilot M515 PDA;7 day auction
302;0.01;Palm Pilot M515 PDA;7 day auction
310;199.0;Palm Pilot M515 PDA;7 day auction
311;74.9;Palm Pilot M515 PDA;7 day auction
312;1.0;Palm Pilot M515 PDA;7 day auction
313;0.01;Palm Pilot M515 PDA;7 day auction
314;149.99;Palm Pilot M515 PDA;7 day auction
315;0.01;Palm Pilot M515 PDA;7 day auction
316;40.0;Palm Pilot M515 PDA;7 day auction
317;5.0;Palm Pilot M515 PDA;7 day auction
318;150.0;Palm Pilot M515 PDA;7 day auction
319;50.0;Palm Pilot M515 PDA;7 day auction
322;9.95;Palm Pilot M515 PDA;7 day auction
323;0.01;Palm Pilot M515 PDA;7 day auction
324;9.95;Palm Pilot M515 PDA;7 day auction
327;9.95;Palm Pilot M515 PDA;7 day auction
328;9.95;Palm Pilot M515 PDA;7 day auction
330;1.0;Palm Pilot M515 PDA;7 day auction
331;240.0;Palm Pilot M515 PDA;7 day auction
337;9.95;Palm Pilot M515 PDA;7 day auction
340;1.0;Palm Pilot M515 PDA;7 day auction
343;1.0;Palm Pilot M515 PDA;7 day auction
347;9.99;Palm Pilot M515 PDA;7 day auction
348;9.99;Palm Pilot M515 PDA;7 day auction
349;9.95;Palm Pilot M515 PDA;7 day auction
352;175.0;Palm Pilot M515 PDA;7 day auction
353;175.0;Palm Pilot M515 PDA;7 day auction
354;1.0;Palm Pilot M515 PDA;7 day auction
355;50.0;Palm Pilot M515 PDA;7 day auction
356;1.0;Palm Pilot M515 PDA;7 day auction
357;1.0;Palm Pilot M515 PDA;7 day auction
358;150.0;Palm Pilot M515 PDA;7 day auction
359;9.99;Palm Pilot M515 PDA;7 day auction
361;1.0;Palm Pilot M515 PDA;7 day auction
362;1.0;Palm Pilot M515 PDA;7 day auction
363;1.0;Palm Pilot M515 PDA;7 day auction
364;5.0;Palm Pilot M515 PDA;7 day auction
367;1.0;Palm Pilot M515 PDA;7 day auction
368;9.95;Palm Pilot M515 PDA;7 day auction
369;50.0;Palm Pilot M515 PDA;7 day auction
370;1.0;Palm Pilot M515 PDA;7 day auction
371;1.0;Palm Pilot M515 PDA;7 day auction
372;1.0;Palm Pilot M515 PDA;7 day auction
374;10.0;Palm Pilot M515 PDA;7 day auction
375;150.0;Palm Pilot M515 PDA;7 day auction
376;9.95;Palm Pilot M515 PDA;7 day auction
379;1.0;Palm Pilot M515 PDA;7 day auction
380;9.99;Palm Pilot M515 PDA;7 day auction
381;9.99;Palm Pilot M515 PDA;7 day auction
385;9.95;Palm Pilot M515 PDA;7 day auction
386;1.0;Palm Pilot M515 PDA;7 day auction
387;1.0;Palm Pilot M515 PDA;7 day auction
388;179.99;Palm Pilot M515 PDA;7 day auction
389;179.99;Palm Pilot M515 PDA;7 day auction
390;1.0;Palm Pilot M515 PDA;7 day auction
391;1.0;Palm Pilot M515 PDA;7 day auction
393;9.95;Palm Pilot M515 PDA;7 day auction
395;1.0;Palm Pilot M515 PDA;7 day auction
396;99.99;Palm Pilot M515 PDA;7 day auction
397;9.95;Palm Pilot M515 PDA;7 day auction
399;240.0;Palm Pilot M515 PDA;7 day auction
401;1.0;Palm Pilot M515 PDA;7 day auction
402;1.0;Palm Pilot M515 PDA;7 day auction
403;9.95;Palm Pilot M515 PDA;7 day auction
407;1.0;Palm Pilot M515 PDA;7 day auction
412;1.0;Palm Pilot M515 PDA;7 day auction
415;1.0;Palm Pilot M515 PDA;7 day auction
416;1.0;Palm Pilot M515 PDA;7 day auction
419;9.99;Palm Pilot M515 PDA;7 day auction
420;1.0;Palm Pilot M515 PDA;7 day auction
435;9.99;Palm Pilot M515 PDA;7 day auction
494;95.0;Xbox game console;3 day auction
499;1.0;Xbox game console;3 day auction
502;29.99;Xbox game console;3 day auction
503;1.0;Xbox game console;3 day auction
508;0.01;Xbox game console;3 day auction
511;40.0;Xbox game console;3 day auction
512;50.0;Xbox game console;3 day auction
514;100.16;Xbox game console;3 day auction
515;49.0;Xbox game console;3 day auction
516;0.01;Xbox game console;3 day auction
517;99.0;Xbox game console;3 day auction
519;0.99;Xbox game console;3 day auction
520;9.99;Xbox game console;3 day auction
521;50.0;Xbox game console;3 day auction
522;60.0;Xbox game console;3 day auction
527;99.99;Xbox game console;3 day auction
528;65.0;Xbox game console;3 day auction
529;75.0;Xbox game console;3 day auction
530;0.95;Xbox game console;3 day auction
531;100.0;Xbox game console;3 day auction
532;0.1;Xbox game console;3 day auction
533;80.0;Xbox game console;3 day auction
540;0.01;Xbox game console;3 day auction
541;29.99;Xbox game console;3 day auction
542;75.0;Xbox game console;3 day auction
543;9.99;Xbox game console;3 day auction
544;0.99;Xbox game console;3 day auction
545;110.0;Xbox game console;3 day auction
569;0.99;Xbox game console;3 day auction
570;55.0;Xbox game console;3 day auction
571;50.0;Xbox game console;3 day auction
572;60.0;Xbox game console;3 day auction
573;0.99;Xbox game console;3 day auction
574;5.0;Xbox game console;3 day auction
464;70.0;Xbox game console;5 day auction
474;0.99;Xbox game console;5 day auction
478;150.0;Xbox game console;5 day auction
481;0.99;Xbox game console;5 day auction
484;49.99;Xbox game console;5 day auction
498;74.99;Xbox game console;5 day auction
500;0.01;Xbox game console;5 day auction
509;62.55;Xbox game console;5 day auction
510;62.55;Xbox game console;5 day auction
513;0.01;Xbox game console;5 day auction
518;39.99;Xbox game console;5 day auction
523;70.0;Xbox game console;5 day auction
562;25.0;Xbox game console;5 day auction
563;59.99;Xbox game console;5 day auction
564;0.99;Xbox game console;5 day auction
565;0.99;Xbox game console;5 day auction
566;15.0;Xbox game console;5 day auction
567;0.99;Xbox game console;5 day auction
568;99.99;Xbox game console;5 day auction
437;49.99;Xbox game console;7 day auction
438;9.99;Xbox game console;7 day auction
439;50.0;Xbox game console;7 day auction
440;1.0;Xbox game console;7 day auction
441;49.99;Xbox game console;7 day auction
442;24.5;Xbox game console;7 day auction
443;9.99;Xbox game console;7 day auction
444;80.0;Xbox game console;7 day auction
445;5.0;Xbox game console;7 day auction
446;80.0;Xbox game console;7 day auction
447;9.99;Xbox game console;7 day auction
448;75.0;Xbox game console;7 day auction
449;0.99;Xbox game console;7 day auction
450;12.99;Xbox game console;7 day auction
451;50.0;Xbox game console;7 day auction
452;9.99;Xbox game console;7 day auction
453;40.0;Xbox game console;7 day auction
454;25.0;Xbox game console;7 day auction
455;29.99;Xbox game console;7 day auction
456;85.0;Xbox game console;7 day auction
457;75.0;Xbox game console;7 day auction
458;0.99;Xbox game console;7 day auction
459;3.0;Xbox game console;7 day auction
460;0.99;Xbox game console;7 day auction
461;1.0;Xbox game console;7 day auction
462;80.0;Xbox game console;7 day auction
463;69.99;Xbox game console;7 day auction
465;0.01;Xbox game console;7 day auction
466;3.0;Xbox game console;7 day auction
467;49.99;Xbox game console;7 day auction
468;1.0;Xbox game console;7 day auction
469;0.01;Xbox game console;7 day auction
470;59.99;Xbox game console;7 day auction
471;0.01;Xbox game console;7 day auction
472;0.01;Xbox game console;7 day auction
473;1.0;Xbox game console;7 day auction
475;3.0;Xbox game console;7 day auction
476;2.0;Xbox game console;7 day auction
477;99.0;Xbox game console;7 day auction
479;10.0;Xbox game console;7 day auction
480;10.0;Xbox game console;7 day auction
482;0.99;Xbox game console;7 day auction
483;50.0;Xbox game console;7 day auction
485;60.0;Xbox game console;7 day auction
486;60.0;Xbox game console;7 day auction
487;59.99;Xbox game console;7 day auction
488;0.99;Xbox game console;7 day auction
489;70.0;Xbox game console;7 day auction
490;49.99;Xbox game console;7 day auction
491;50.0;Xbox game console;7 day auction
492;10.0;Xbox game console;7 day auction
493;20.0;Xbox game console;7 day auction
495;1.0;Xbox game console;7 day auction
496;0.99;Xbox game console;7 day auction
497;1.99;Xbox game console;7 day auction
501;5.0;Xbox game console;7 day auction
504;0.01;Xbox game console;7 day auction
505;9.99;Xbox game console;7 day auction
506;0.99;Xbox game console;7 day auction
507;79.99;Xbox game console;7 day auction
524;49.0;Xbox game console;7 day auction
525;39.99;Xbox game console;7 day auction
526;85.0;Xbox game console;7 day auction
534;0.99;Xbox game console;7 day auction
535;89.0;Xbox game console;7 day auction
536;80.0;Xbox game console;7 day auction
537;19.99;Xbox game console;7 day auction
538;0.99;Xbox game console;7 day auction
539;0.99;Xbox game console;7 day auction
546;9.99;Xbox game console;7 day auction
547;24.99;Xbox game console;7 day auction
548;100.0;Xbox game console;7 day auction
549;9.99;Xbox game console;7 day auction
550;75.0;Xbox game console;7 day auction
551;1.0;Xbox game console;7 day auction
552;24.99;Xbox game console;7 day auction
553;9.99;Xbox game console;7 day auction
554;29.99;Xbox game console;7 day auction
555;1.0;Xbox game console;7 day auction
556;50.0;Xbox game console;7 day auction
557;40.0;Xbox game console;7 day auction
558;50.0;Xbox game console;7 day auction
559;55.0;Xbox game console;7 day auction
560;55.0;Xbox game console;7 day auction
561;0.01;Xbox game console;7 day auction
